date,Always Long,Always Short,MA Crossover 10/50,Momentum 20d
2018-04-02,0.24032867625221158,0.2629749908216706,0.24032867625221158,0.25636765667390626
2018-04-03,0.24763110288561838,0.24740858306118826,0.24763110288561838,0.25732921116757507
2018-04-04,0.25472246668504583,0.23265580258027838,0.25472246668504583,0.25789926404963004
2018-04-05,0.2615939363663815,0.21871058649724753,0.2615939363663815,0.2581015407699895
2018-04-06,0.2519610467312048,0.2307780382068859,0.2519610467312048,0.2652998683307045
2018-04-09,0.25878579426251824,0.21698260922462248,0.25878579426251824,0.265445802250341
2018-04-10,0.265391058425924,0.20397327917608027,0.265391058425924,0.2652446039720718
2018-04-11,0.2558287340023595,0.21548926440625488,0.2558287340023595,0.2728532675890262
2018-04-12,0.2623974606591074,0.20260756073800573,0.2623974606591074,0.2725975179437795
2018-04-13,0.2528884798238684,0.21397195074318046,0.2528884798238684,0.2802510896090827
2018-04-16,0.259420790401664,0.20121988070843153,0.259420790401664,0.27993853848824035
2018-04-17,0.2657447225871224,0.18921979916459447,0.2657447225871224,0.2792907556611609
2018-04-18,0.27185822146819955,0.17794954914600533,0.27185822146819955,0.2783340079175956
2018-04-19,0.27775997933634955,0.16738310593169484,0.27775997933634955,0.2770969353956061
2018-04-20,0.26840596641864967,0.17740643954554036,0.26840596641864967,0.28578162761716036
2018-04-23,0.25905474974196685,0.18772425200087806,0.25905474974196685,0.2941662485151883
2018-04-24,0.24973787660169425,0.1983082345363582,0.24973787660169425,0.30221601226025335
2018-04-25,0.24048785168742845,0.20912965329464459,0.24048785168742845,0.3098946433304986
2018-04-26,0.2468773454112535,0.19681752054870522,0.2468773454112535,0.30942778862878784
2018-04-27,0.23769423495045497,0.20749463780425453,0.23769423495045497,0.3171168922948355
2018-04-30,0.22861490836981843,0.2183741720058887,0.22861490836981843,0.32439601125447454
2018-05-01,0.219665247028339,0.229423527628712,0.219665247028339,0.33124597831460995
2018-05-02,0.21087179594902364,0.24061202185084304,0.21087179594902364,0.3376443862511097
2018-05-03,0.20225802602242124,0.25190822518094086,0.20225802602242124,0.3435757227742167
2018-05-04,0.20894792126580716,0.23753835903303222,0.20894792126580716,0.3445657984353534
2018-05-07,0.2155256092789782,0.22390189707009944,0.2155256092789782,0.3450468843719441
2018-05-08,0.2219808661219399,0.21099158911058571,0.2219808661219399,0.3450466786455346
2018-05-09,0.22830436892594494,0.19879442183665375,0.22830436892594494,0.3445968403114565
2018-05-10,0.23449002926935555,0.18729462604783437,0.23449002926935555,0.34372531541345464
2018-05-11,0.24053140835872425,0.1764713488699906,0.24053140835872425,0.34246583441256095
2018-05-14,0.2316311435556709,0.1860560168876434,0.2316311435556709,0.3506816960010148
2018-05-15,0.22284355305974313,0.19584989427023627,0.22284355305974313,0.35846299961027744
2018-05-16,0.21419304277838958,0.20582750644224723,0.21419304277838958,0.36578640800097373
2018-05-17,0.22039985408681395,0.19406376062958083,0.22039985408681395,0.36513653119679135
2018-05-18,0.21182705803471552,0.2039057299886988,0.21182705803471552,0.3724401539418702
2018-05-21,0.2179865008626034,0.19229005123618528,0.2179865008626034,0.37173694703860805
2018-05-22,0.22402959019657034,0.18133346406744488,0.22402959019657034,0.3706073555394145
2018-05-23,0.2154658776174263,0.19074086065837031,0.2154658776174263,0.3783273841067772
2018-05-24,0.2214707601536835,0.17991189291211668,0.2214707601536835,0.3771465867805162
2018-05-25,0.21298496220491395,0.18919938438457026,0.21298496220491395,0.3848306912056018
2018-05-29,0.20465858479202473,0.1986654210029162,0.20465858479202473,0.39201740941303426
2018-05-30,0.2106887780358375,0.1874684119401472,0.2106887780358375,0.39115403198817783
2018-05-31,0.20243725469557494,0.19680575290516839,0.20243725469557494,0.39831973770368184
2018-06-01,0.1943655347578187,0.20629567746631175,0.1943655347578187,0.4049732530180508
2018-06-04,0.20039686376987176,0.19476930202429166,0.20039686376987176,0.4044369704359649
2018-06-05,0.19239940206627315,0.20412752147121888,0.19239940206627315,0.4110736743962348
2018-06-06,0.19838656670121405,0.19276460129548487,0.19838656670121405,0.410462265302087
2018-06-07,0.2042992346802212,0.1820279716290963,0.2042992346802212,0.40937355901046124
2018-06-08,0.19626908679071095,0.1909904221390493,0.19626908679071095,0.41647140427952883
2018-06-11,0.20213959622548844,0.1803911243503089,0.20213959622548844,0.4153296831987143
2018-06-12,0.19418926085720312,0.18924104302603084,0.19418926085720312,0.422380435259563
2018-06-13,0.18643282658556357,0.1982443626052628,0.18643282658556357,0.42888998422361013
2018-06-14,0.17888328201718548,0.2073817910871112,0.17888328201718548,0.43485164487851796
2018-06-15,0.1715520858658794,0.21663445149285526,0.1715520858658794,0.440261376775386
2018-06-18,0.16444863176783928,0.22598353181839556,0.16444863176783928,0.44511920464592586
2018-06-19,0.1575805702482482,0.23541082776794856,0.1575805702482482,0.4494280317355551
2018-06-20,0.15095367489987477,0.24489867457137526,0.15095367489987477,0.45319397562887515
2018-06-21,0.15666987225053475,0.2318467095880704,0.15666987225053475,0.45481354591086004
2018-06-22,0.16238921421629537,0.21941231510400433,0.16238921421629537,0.45580925646340487
2018-06-25,0.1681004129451098,0.20758910499510355,0.1681004129451098,0.45621006911467693
2018-06-26,0.16118522664899598,0.21657334360651298,0.16118522664899598,0.46105620309549505
2018-06-27,0.15450229700009033,0.22564574315123198,0.15450229700009033,0.4653496628485875
2018-06-28,0.16012021145561026,0.21360005797134618,0.16012021145561026,0.4661595191174333
2018-06-29,0.16573658980863415,0.20215396045021572,0.16573658980863415,0.46637285993251604
