date,Always Long,Always Short,MA Crossover 10/50,Momentum 20d,VolRegime_w20,MeanRevert_w20_z3.0,TrendQual_s10_l50_q20,DrawdownAvoid_lb60,PriceAccel_w10_s5,RelativeStrength_w14,VolumePrice_w20,Breakout_lb20_th0.02
2018-04-02,0.05495688205840779,0.09087533490246294,0.05495688205840779,0.09087522133286642,0.09087536191928247,0.09003971717224374,0.09087536191928247,0.09073794823091173,0.07602481193773156,0.08811304912931005,0.09079406741981048,0.09087536191928247
2018-04-03,0.03635293548652696,0.07531597948306,0.03635293548652696,0.09967746746625708,0.09967787316086271,0.0924643613018787,0.09967787316086271,0.09938044727023651,0.06963773144516618,0.09268091227078784,0.09910361030697158,0.09967787316086271
2018-04-04,0.02579500996800702,0.05101145335861865,0.02579500996800702,0.10636240717965953,0.1063631251704727,0.09653133117239002,0.1063631251704727,0.10587483286356685,0.06668305719677155,0.09766606125359727,0.10519146152796384,0.1063631251704727
2018-04-05,0.01986095724116583,0.03132034319757464,0.01986095724116583,0.11084776909612487,0.110848795034217,0.10012221968525338,0.110848795034217,0.11015773128631955,0.06450084193982426,0.10152933248435918,0.10925346272556151,0.110848795034217
2018-04-06,0.015630542293143448,0.021058110046549876,0.015630542293143448,0.11345137573256105,0.11345265874759161,0.10243864966781867,0.11345265874759161,0.1125649882293045,0.0633621616125033,0.10392391692240406,0.11158173695979672,0.11345265874759161
2018-04-09,0.013170145763022889,0.014885773887283588,0.013170145763022889,0.11537489826020307,0.11537642195389965,0.10249550847493802,0.11537642195389965,0.11433387224699335,0.06276206765746599,0.10487700851489644,0.11280131357047468,0.11537642195389965
2018-04-10,0.011777109158694468,0.011472695631037148,0.011777109158694468,0.11771620034344824,0.11771790311841868,0.1031625300497686,0.11771790311841868,0.11652755196484443,0.05416113298185246,0.10641678995196263,0.11383517140444159,0.11771790311841868
2018-04-11,0.010652043350520156,0.009929015637190994,0.010652043350520156,0.1188276793662605,0.11882946985514756,0.10391686557820143,0.11882946985514756,0.11750648075666226,0.05067107464740086,0.10714645999795161,0.11420992774984924,0.11882946985514756
2018-04-12,0.009957905105620321,0.00911823676620455,0.009957905105620321,0.11963231987228737,0.11963417183459568,0.1026280154768348,0.11963417183459568,0.11819843450583965,0.049665025185809994,0.10735403051211434,0.11458561196588168,0.11963417183459568
2018-04-13,0.009449377237822522,0.008763704398832664,0.009449377237822522,0.12468984272254482,0.08880325006771565,0.10647093139334199,0.12325117308626224,0.12306484793001546,0.05047655134022112,0.11158004097008083,0.11930909969191864,0.12469180392342148
2018-04-16,0.009129204018313831,0.008561269302468257,0.009129204018313831,0.12858512160888147,0.06478989792087711,0.10978931744380042,0.12539423173685155,0.12677848168324818,0.05174988906303866,0.1145357179122757,0.12297050921323063,0.12858715607870036
2018-04-17,0.008931915455446584,0.00844699071033131,0.008931915455446584,0.13125043953115875,0.049304911486618565,0.11108035610356595,0.12667710055720907,0.12926764336021943,0.052731113403637876,0.1168035680626449,0.1253215399499654,0.1312525059237556
2018-04-18,0.008808771477818651,0.008387207867103256,0.008808771477818651,0.1333297974668954,0.03956402812856462,0.11018151991376761,0.127614541945939,0.13117206122448088,0.0536402405952444,0.11798992185245359,0.1271712570996629,0.13333188095025095
2018-04-19,0.008734927650588913,0.00835818687407696,0.008734927650588913,0.13684877480258345,0.03361788565285994,0.09720409468995152,0.13003546561074897,0.13446673255313063,0.0546291387431755,0.11999440990647747,0.13052453179370843,0.1368509240721093
2018-04-20,0.008658126099769707,0.008346330820355782,0.008658126099769707,0.14733525712748655,0.027961312107553652,0.061983740967105155,0.13958545520650872,0.1435620689632149,0.04910223794097096,0.1230625663972458,0.134406978635603,0.14733779963441604
2018-04-23,0.008567931736013827,0.008341019088321276,0.008567931736013827,0.15587718656019303,0.021964792549585603,0.04795295096166989,0.14763983265914432,0.15049848474478436,0.0386912840409977,0.12250092390258556,0.13351733624687387,0.15588032577381666
2018-04-24,0.008487221780132689,0.00833842479979958,0.008487221780132689,0.16227713325364168,0.01693706543161808,0.042712606342123365,0.15367301441763734,0.1552520396277079,0.03130173524487057,0.12196819956031918,0.12828430994815024,0.1622810278138666
2018-04-25,0.00842712684894236,0.008337054517131008,0.00842712684894236,0.1672676558240034,0.013380534034734385,0.0407028000056911,0.1581779287771838,0.1586108090073862,0.02482071271543197,0.12176122756980026,0.12281447917885015,0.1672725446719031
2018-04-26,0.008393158631140164,0.008335838276360526,0.008393158631140164,0.1705661400488609,0.011426282069638442,0.040175034629054654,0.16078825014547674,0.16049217412892902,0.020816517844607484,0.12228318241696187,0.11775814936225337,0.17057211381557674
2018-04-27,0.008370275106292725,0.008335108861586678,0.008370275106292725,0.17373045924941,0.010170320103366836,0.03961051892729455,0.1630339880632653,0.16219719440088548,0.020297335311921273,0.11976281281996012,0.1123840291576005,0.17373768289212388
2018-04-30,0.008355083573313842,0.008334689046613334,0.008355083573313842,0.17639493063004216,0.009374610520864364,0.039537537241645014,0.16469023932924204,0.16347016532046385,0.020132626674237968,0.11777333662418706,0.10717814702934511,0.1764035504367314
2018-05-01,0.00834562961289475,0.008334446133265344,0.00834562961289475,0.17895312211174724,0.008900360744843227,0.03995561705753935,0.1663321408641572,0.16471565845604735,0.019765136335890287,0.11729118394923095,0.10009801661500342,0.17896305850648614
2018-05-02,0.008340063269080667,0.008334303640012017,0.008340063269080667,0.1812832439831666,0.008632351535504505,0.04055137904220223,0.16797810370681054,0.16580234360556176,0.019598001242154647,0.11606869820053843,0.09377702883929201,0.18129441966659604
