,eta_0.4
Always Long,0.008408597075875693
Always Short,0.008475527915508402
MA Crossover 10/50,0.008408597075875693
Momentum 20d,0.3167794271428214
VolRegime_w20,0.009050068313753273
MeanRevert_w20_z3.0,0.010477506234172207
TrendQual_s10_l50_q20,0.02883279425564209
DrawdownAvoid_lb60,0.202459669345684
PriceAccel_w10_s5,0.008955795491058011
RelativeStrength_w14,0.021889738247609817
VolumePrice_w20,0.05928932979983214
Breakout_lb20_th0.02,0.31697294910216733
