date,Always Long,Always Short,MA Crossover 10/50,Momentum 20d,VolRegime_w20,MeanRevert_w20_z3.0,TrendQual_s10_l50_q20,DrawdownAvoid_lb60,PriceAccel_w10_s5,RelativeStrength_w14,VolumePrice_w20,Breakout_lb20_th0.02
2018-04-02,0.05427434249374774,0.089417557701427,0.05427434249374774,0.08941758338364703,0.08941758413513526,0.08784130707874145,0.08941758413513526,0.0893178494077727,0.08901505687169729,0.08885325708262548,0.0893359510811878,0.08941758413513526
2018-04-03,0.03286639712176192,0.09401965018784163,0.03286639712176192,0.09401970777991821,0.09401971077233262,0.09176023300299362,0.09401971077233262,0.09380166278332863,0.09150305513399654,0.09320644184849002,0.0938973227029096,0.09401971077233262
2018-04-04,0.021943858916209258,0.07490922514433544,0.021943858916209258,0.09877129042987753,0.09877130341045225,0.09581705360526763,0.09877130341045225,0.09841544135400106,0.0957226621928149,0.0975402174292061,0.09862248178072196,0.09877130341045225
2018-04-05,0.016561580633733267,0.05004172430533456,0.016561580633733267,0.10376192742853363,0.10376196487995153,0.09272058636129435,0.10376196487995153,0.10323214279746579,0.10049297204271661,0.10178940288432313,0.10355218827301085,0.10376196487995153
2018-04-06,0.013243556841589869,0.03476271952544361,0.013243556841589869,0.1075692133730454,0.10756928835184866,0.08724151464631391,0.10756928835184866,0.10683313545037303,0.10299065391818167,0.10422695676926011,0.10718082757865662,0.10756928835184866
2018-04-09,0.011149095490715043,0.026101696738287054,0.011149095490715043,0.10971543955935807,0.10971555377908997,0.08460516945719462,0.10971555377908997,0.1087592370258702,0.10456843643318547,0.10571425654239225,0.1090909119250125,0.10971555377908997
2018-04-10,0.009909810619643898,0.0213126623152298,0.009909810619643898,0.11240176244950947,0.11240192131905886,0.08401387485025101,0.11240192131905886,0.11118484409690228,0.09461742874257068,0.10785281741213064,0.11159122493694168,0.11240192131905886
2018-04-11,0.009264019701623747,0.01651505925256685,0.009264019701623747,0.1136052094174213,0.11360540935322251,0.0845187582632605,0.11360540935322251,0.11214192193380051,0.0924416649618373,0.10873695816020686,0.1126961605479915,0.11360540935322251
2018-04-12,0.008876628330245261,0.01366190284265552,0.008876628330245261,0.11454028523258226,0.11454051793869695,0.08496518220564646,0.11454051793869695,0.11282733073077436,0.08984844679608266,0.10929984479389822,0.11348219692177931,0.11454051793869695
2018-04-13,0.008686223339896475,0.01157377503526148,0.008686223339896475,0.12074154931186054,0.08470199687972298,0.08784049474778907,0.12074181789746105,0.11869967189397847,0.08282955389575139,0.11516976670988348,0.11958710905103767,0.12074181789746105
2018-04-16,0.008581527287155692,0.010093453501881122,0.008581527287155692,0.12602139077265126,0.06158327947985379,0.09060523259443819,0.12601929094813039,0.12364785682543042,0.074733220279893,0.11933091555074593,0.12478062066045725,0.1260216848122072
2018-04-17,0.008520282411346928,0.009206302710229526,0.008520282411346928,0.1302359317093201,0.04680814932946173,0.08663729337807122,0.13021962140692558,0.12672265073289615,0.07289969741131064,0.12128619303973429,0.12870733743557922,0.1302362580237777
2018-04-18,0.008468161841366374,0.008798539184595314,0.008468161841366374,0.1356351897475059,0.034752077277294006,0.07285842363879327,0.13556495488158998,0.1306788542829347,0.07165724906486735,0.12408958238850532,0.1333932236785971,0.1356355821725844
2018-04-19,0.008433115987791505,0.008570717405717158,0.008433115987791505,0.1386530853934302,0.026892798933087252,0.06661488663461682,0.13847096708952122,0.1323572673916635,0.07141252464842929,0.12585788815387602,0.1356500740497512,0.13865355832432416
2018-04-20,0.008402942303145824,0.00846436512409318,0.008402942303145824,0.14158569334942972,0.020638483633380215,0.06262302948956044,0.1412118688339657,0.13391723977578499,0.06785088371682896,0.12758789817472024,0.1377283861243634,0.1415862671715816
2018-04-23,0.008383693492710436,0.00840302789019422,0.008383693492710436,0.14350078232691396,0.016783909857086346,0.06145039295053775,0.14284174317673992,0.13459619504002604,0.06513882688985123,0.12818848054253046,0.13882779842906817,0.1435014559116309
2018-04-24,0.008371930584961286,0.008368379942315308,0.008371930584961286,0.14476882687064355,0.014479043555184595,0.060633874770069256,0.14371263110873603,0.1347396910054805,0.06493994735243812,0.1279776913554284,0.13886648368130217,0.1447695691884795
2018-04-25,0.00836475572530042,0.008350181998351261,0.00836475572530042,0.14622060610515838,0.013082471469240627,0.05675996593184068,0.1444990667534621,0.1350820359632403,0.06562518766060688,0.12815543685274752,0.13927412307935372,0.1462214127353978
2018-04-26,0.00836035404693442,0.008341188540055536,0.00836035404693442,0.1482247628754456,0.012212384024545168,0.05062772953151596,0.1454087484425992,0.13579015404542055,0.0653367686253997,0.12862046452675732,0.1404914289101288,0.1482256623842633
2018-04-27,0.008357631858383344,0.008336922978832866,0.008357631858383344,0.150583179370527,0.01164926800113669,0.04585126855248117,0.1459298600263348,0.1368079793088224,0.06308624023309597,0.1283351553114876,0.1421206499011194,0.15058421259939553
2018-04-30,0.008353064293297126,0.00833513745928303,0.008353064293297126,0.15370311050633534,0.01090015975714167,0.041676525567209084,0.14624702536779938,0.1384060638662088,0.0582603665807674,0.12774912400882638,0.1443120187206136,0.15370433957922117
2018-05-01,0.00834761299616059,0.008334361287883748,0.00834761299616059,0.15593591995288267,0.010106815800358335,0.04005870796080777,0.14504086329132226,0.13917915016868176,0.05763494766205239,0.1255677039020306,0.14550894652443125,0.15593735745722814
2018-05-02,0.008343995292922455,0.008333916906111105,0.008343995292922455,0.15806717805748097,0.009595292657106194,0.039920855702695594,0.14392809239483922,0.13995084894494952,0.05381889932447952,0.12484542625002681,0.1467826870145519,0.15806881216191443
