,eta_0.4
Always Long,0.008394976629266488
Always Short,0.008541471943423489
MA Crossover 10/50,0.008394976629266488
Momentum 20d,0.28091738780425374
VolRegime_w20,0.00901292295193907
MeanRevert_w20_z3.0,0.00992066702542488
TrendQual_s10_l50_q20,0.041731789299220806
DrawdownAvoid_lb60,0.1745142838186065
PriceAccel_w10_s5,0.009869713036654513
RelativeStrength_w14,0.01981950407975845
VolumePrice_w20,0.1478841079472859
Breakout_lb20_th0.02,0.2809981988348997
