,eta_0.4
Always Long,0.008408342182142864
Always Short,0.008475549532224695
MA Crossover 10/50,0.008408342182142864
Momentum 20d,0.29948090202830857
VolRegime_w20,0.009042671280869994
MeanRevert_w20_z3.0,0.011416071610464162
TrendQual_s10_l50_q20,0.03352811364492711
DrawdownAvoid_lb60,0.2075177042498489
PriceAccel_w10_s5,0.009657702282538993
RelativeStrength_w14,0.021093286120626335
VolumePrice_w20,0.08328036138202491
Breakout_lb20_th0.02,0.29969095350388064
